,group,song_lines,tokenized,lemmatized
0,Kaleo,home grounds,"['home', 'grounds']",home ground
1,Kaleo,feels like the weight has been lifted away,"['feels', 'like', 'the', 'weight', 'has', 'been', 'lifted', 'away']",feel like the weight ha been lifted away
2,Kaleo,"but if she leaves me there, i won't run","['but', 'if', 'she', 'leaves', 'me', 'there', ',', 'i', 'wo', ""n't"", 'run']","but if she leaf me there , i wo n't run"
3,Kaleo,"please pass it on, carry me down","['please', 'pass', 'it', 'on', ',', 'carry', 'me', 'down']","please pas it on , carry me down"
4,Kaleo,"all you need to know is i want more, more","['all', 'you', 'need', 'to', 'know', 'is', 'i', 'want', 'more', ',', 'more']","all you need to know is i want more , more"
5,Kaleo,looking for more,"['looking', 'for', 'more']",looking for more
6,Kaleo,"i want more, more","['i', 'want', 'more', ',', 'more']","i want more , more"
7,Kaleo,'cause i want more,"[""'cause"", 'i', 'want', 'more']",'cause i want more
8,Kaleo,so light,"['so', 'light']",so light
9,Kaleo,"hold back the night, wait 'til it's right","['hold', 'back', 'the', 'night', ',', 'wait', ""'til"", 'it', ""'s"", 'right']","hold back the night , wait 'til it 's right"
10,Kaleo,but then you fold your hand into mine,"['but', 'then', 'you', 'fold', 'your', 'hand', 'into', 'mine']",but then you fold your hand into mine
11,Kaleo,"watch as the waves, fall back into place","['watch', 'as', 'the', 'waves', ',', 'fall', 'back', 'into', 'place']","watch a the wave , fall back into place"
12,Kaleo,so don't you leave me there wanting more,"['so', 'do', ""n't"", 'you', 'leave', 'me', 'there', 'wanting', 'more']",so do n't you leave me there wanting more
13,Kaleo,"more, like before, more","['more', ',', 'like', 'before', ',', 'more']","more , like before , more"
14,Kaleo,"i want more, more","['i', 'want', 'more', ',', 'more']","i want more , more"
15,Kaleo,"'cause i want more, ooh","[""'cause"", 'i', 'want', 'more', ',', 'ooh']","'cause i want more , ooh"
16,Kaleo,"turn back, leave all you had","['turn', 'back', ',', 'leave', 'all', 'you', 'had']","turn back , leave all you had"
17,Kaleo,"forgive, i'll forget","['forgive', ',', 'i', ""'ll"", 'forget']","forgive , i 'll forget"
18,Kaleo,'cause what we need is what we once had,"[""'cause"", 'what', 'we', 'need', 'is', 'what', 'we', 'once', 'had']",'cause what we need is what we once had
19,Kaleo,time won't stand still,"['time', 'wo', ""n't"", 'stand', 'still']",time wo n't stand still
20,Kaleo,just say you will,"['just', 'say', 'you', 'will']",just say you will
21,Kaleo,'cause i need you there and now,"[""'cause"", 'i', 'need', 'you', 'there', 'and', 'now']",'cause i need you there and now
22,Kaleo,"if you leap, i'll come falling too","['if', 'you', 'leap', ',', 'i', ""'ll"", 'come', 'falling', 'too']","if you leap , i 'll come falling too"
23,Kaleo,running deep 'til that rivers through,"['running', 'deep', ""'til"", 'that', 'rivers', 'through']",running deep 'til that river through
24,Kaleo,i don't mind what you have to do,"['i', 'do', ""n't"", 'mind', 'what', 'you', 'have', 'to', 'do']",i do n't mind what you have to do
25,Kaleo,"'cause i won't think less, less of you","[""'cause"", 'i', 'wo', ""n't"", 'think', 'less', ',', 'less', 'of', 'you']","'cause i wo n't think le , le of you"
26,Kaleo,"yes, i want more, more","['yes', ',', 'i', 'want', 'more', ',', 'more']","yes , i want more , more"
27,Kaleo,looking for more,"['looking', 'for', 'more']",looking for more
28,Kaleo,"i want more, more","['i', 'want', 'more', ',', 'more']","i want more , more"
29,Kaleo,'cause i want more,"[""'cause"", 'i', 'want', 'more']",'cause i want more
30,Kaleo,old grounds,"['old', 'grounds']",old ground
31,Kaleo,feels like the weight has been lifted away,"['feels', 'like', 'the', 'weight', 'has', 'been', 'lifted', 'away']",feel like the weight ha been lifted away
32,Kaleo,so don't you leave me there wanting more,"['so', 'do', ""n't"", 'you', 'leave', 'me', 'there', 'wanting', 'more']",so do n't you leave me there wanting more
33,Kaleo,"oh, father tell me, do we get what we deserve?","['oh', ',', 'father', 'tell', 'me', ',', 'do', 'we', 'get', 'what', 'we', 'deserve', '?']","oh , father tell me , do we get what we deserve ?"
34,Kaleo,"whoa, we get what we deserve","['whoa', ',', 'we', 'get', 'what', 'we', 'deserve']","whoa , we get what we deserve"
36,Kaleo,and way down we go,"['and', 'way', 'down', 'we', 'go']",and way down we go
37,Kaleo,way down we go,"['way', 'down', 'we', 'go']",way down we go
38,Kaleo,say way down we go,"['say', 'way', 'down', 'we', 'go']",say way down we go
39,Kaleo,way down we go,"['way', 'down', 'we', 'go']",way down we go
41,Kaleo,you let your feet run wild,"['you', 'let', 'your', 'feet', 'run', 'wild']",you let your foot run wild
42,Kaleo,"time has come as we all, oh, go down","['time', 'has', 'come', 'as', 'we', 'all', ',', 'oh', ',', 'go', 'down']","time ha come a we all , oh , go down"
43,Kaleo,"yeah but for the fall, ooh, my","['yeah', 'but', 'for', 'the', 'fall', ',', 'ooh', ',', 'my']","yeah but for the fall , ooh , my"
44,Kaleo,do you dare to look him right in the eyes? yeah,"['do', 'you', 'dare', 'to', 'look', 'him', 'right', 'in', 'the', 'eyes', '?', 'yeah']",do you dare to look him right in the eye ? yeah
46,Kaleo,"oh, 'cause they will run you down, down 'til the dark","['oh', ',', ""'cause"", 'they', 'will', 'run', 'you', 'down', ',', 'down', ""'til"", 'the', 'dark']","oh , 'cause they will run you down , down 'til the dark"
47,Kaleo,"yes and they will run you down, down 'til you fall","['yes', 'and', 'they', 'will', 'run', 'you', 'down', ',', 'down', ""'til"", 'you', 'fall']","yes and they will run you down , down 'til you fall"
48,Kaleo,"and they will run you down, down 'til you go","['and', 'they', 'will', 'run', 'you', 'down', ',', 'down', ""'til"", 'you', 'go']","and they will run you down , down 'til you go"
49,Kaleo,"yeah, so you can't crawl no more","['yeah', ',', 'so', 'you', 'ca', ""n't"", 'crawl', 'no', 'more']","yeah , so you ca n't crawl no more"
51,Kaleo,and way down we go,"['and', 'way', 'down', 'we', 'go']",and way down we go
52,Kaleo,way down we go,"['way', 'down', 'we', 'go']",way down we go
53,Kaleo,say way down we go,"['say', 'way', 'down', 'we', 'go']",say way down we go
54,Kaleo,"oh, 'cause they will run you down, down 'til you fall","['oh', ',', ""'cause"", 'they', 'will', 'run', 'you', 'down', ',', 'down', ""'til"", 'you', 'fall']","oh , 'cause they will run you down , down 'til you fall"
55,Kaleo,way down we go,"['way', 'down', 'we', 'go']",way down we go
57,Kaleo,"oh baby, yeah","['oh', 'baby', ',', 'yeah']","oh baby , yeah"
58,Kaleo,"oh, baby","['oh', ',', 'baby']","oh , baby"
59,Kaleo,baby,['baby'],baby
60,Kaleo,way down we go,"['way', 'down', 'we', 'go']",way down we go
61,Kaleo,yeah,['yeah'],yeah
63,Kaleo,and way down we go,"['and', 'way', 'down', 'we', 'go']",and way down we go
64,Kaleo,way down we go,"['way', 'down', 'we', 'go']",way down we go
65,Kaleo,"say way down we go, ooh","['say', 'way', 'down', 'we', 'go', ',', 'ooh']","say way down we go , ooh"
66,Kaleo,way down we go,"['way', 'down', 'we', 'go']",way down we go
67,Kaleo,sun is down on east side,"['sun', 'is', 'down', 'on', 'east', 'side']",sun is down on east side
68,Kaleo,while we all turn a blind eye,"['while', 'we', 'all', 'turn', 'a', 'blind', 'eye']",while we all turn a blind eye
69,Kaleo,you know i've got your back,"['you', 'know', 'i', ""'ve"", 'got', 'your', 'back']",you know i 've got your back
70,Kaleo,but would you ever do that for me?,"['but', 'would', 'you', 'ever', 'do', 'that', 'for', 'me', '?']",but would you ever do that for me ?
71,Kaleo,for me? for me? for me?,"['for', 'me', '?', 'for', 'me', '?', 'for', 'me', '?']",for me ? for me ? for me ?
72,Kaleo,"billy boy, he's gifted","['billy', 'boy', ',', 'he', ""'s"", 'gifted']","billy boy , he 's gifted"
73,Kaleo,you know you can't deny it,"['you', 'know', 'you', 'ca', ""n't"", 'deny', 'it']",you know you ca n't deny it
74,Kaleo,don't leave us empty handed,"['do', ""n't"", 'leave', 'us', 'empty', 'handed']",do n't leave u empty handed
75,Kaleo,'cause you know we don't deserve that from you,"[""'cause"", 'you', 'know', 'we', 'do', ""n't"", 'deserve', 'that', 'from', 'you']",'cause you know we do n't deserve that from you
76,Kaleo,"from you, from you, from you","['from', 'you', ',', 'from', 'you', ',', 'from', 'you']","from you , from you , from you"
77,Kaleo,i want to break my baby,"['i', 'want', 'to', 'break', 'my', 'baby']",i want to break my baby
78,Kaleo,you know she loves to fake it,"['you', 'know', 'she', 'loves', 'to', 'fake', 'it']",you know she love to fake it
79,Kaleo,"i want to break my baby, yeah","['i', 'want', 'to', 'break', 'my', 'baby', ',', 'yeah']","i want to break my baby , yeah"
80,Kaleo,hold her down,"['hold', 'her', 'down']",hold her down
81,Kaleo,bring her down now,"['bring', 'her', 'down', 'now']",bring her down now
82,Kaleo,"oh, now","['oh', ',', 'now']","oh , now"
83,Kaleo,they'll take you in and spit you out,"['they', ""'ll"", 'take', 'you', 'in', 'and', 'spit', 'you', 'out']",they 'll take you in and spit you out
84,Kaleo,you're only worth how much you sell,"['you', ""'re"", 'only', 'worth', 'how', 'much', 'you', 'sell']",you 're only worth how much you sell
85,Kaleo,"you've come too far, we both agree","['you', ""'ve"", 'come', 'too', 'far', ',', 'we', 'both', 'agree']","you 've come too far , we both agree"
86,Kaleo,just give the people what they need,"['just', 'give', 'the', 'people', 'what', 'they', 'need']",just give the people what they need
87,Kaleo,will you turn away,"['will', 'you', 'turn', 'away']",will you turn away
88,Kaleo,or will you take my place?,"['or', 'will', 'you', 'take', 'my', 'place', '?']",or will you take my place ?
89,Kaleo,does it start to show,"['does', 'it', 'start', 'to', 'show']",doe it start to show
90,Kaleo,now that the pressure is on?,"['now', 'that', 'the', 'pressure', 'is', 'on', '?']",now that the pressure is on ?
91,Kaleo,will they call my name,"['will', 'they', 'call', 'my', 'name']",will they call my name
92,Kaleo,when it all goes up in flames?,"['when', 'it', 'all', 'goes', 'up', 'in', 'flames', '?']",when it all go up in flame ?
93,Kaleo,"oh, will you be by my side?","['oh', ',', 'will', 'you', 'be', 'by', 'my', 'side', '?']","oh , will you be by my side ?"
94,Kaleo,i want to break my baby,"['i', 'want', 'to', 'break', 'my', 'baby']",i want to break my baby
95,Kaleo,you know she loves to fake it,"['you', 'know', 'she', 'loves', 'to', 'fake', 'it']",you know she love to fake it
96,Kaleo,"i want to break my baby, yeah","['i', 'want', 'to', 'break', 'my', 'baby', ',', 'yeah']","i want to break my baby , yeah"
97,Kaleo,"oh, hold her down","['oh', ',', 'hold', 'her', 'down']","oh , hold her down"
98,Kaleo,"oh, break it down now","['oh', ',', 'break', 'it', 'down', 'now']","oh , break it down now"
99,Kaleo,"oh, break down","['oh', ',', 'break', 'down']","oh , break down"
100,Kaleo,"woah, hold my love","['woah', ',', 'hold', 'my', 'love']","woah , hold my love"
101,Kaleo,"woah, hold my love","['woah', ',', 'hold', 'my', 'love']","woah , hold my love"
102,Kaleo,"woah, hold my love","['woah', ',', 'hold', 'my', 'love']","woah , hold my love"
103,Kaleo,woah,['woah'],woah
104,Kaleo,break my baby (break my baby),"['break', 'my', 'baby', '(', 'break', 'my', 'baby', ')']",break my baby ( break my baby )
105,Kaleo,break my baby (break my baby),"['break', 'my', 'baby', '(', 'break', 'my', 'baby', ')']",break my baby ( break my baby )
106,Kaleo,break my baby (break my baby),"['break', 'my', 'baby', '(', 'break', 'my', 'baby', ')']",break my baby ( break my baby )
107,Kaleo,break my baby (break my baby),"['break', 'my', 'baby', '(', 'break', 'my', 'baby', ')']",break my baby ( break my baby )
108,Kaleo,you know she loves to fake it,"['you', 'know', 'she', 'loves', 'to', 'fake', 'it']",you know she love to fake it
109,Kaleo,break my baby,"['break', 'my', 'baby']",break my baby
110,Kaleo,i got two strong legs,"['i', 'got', 'two', 'strong', 'legs']",i got two strong leg
111,Kaleo,"whoa, just like my father said, yeah","['whoa', ',', 'just', 'like', 'my', 'father', 'said', ',', 'yeah']","whoa , just like my father said , yeah"
112,Kaleo,"""on your feet, little man","['``', 'on', 'your', 'feet', ',', 'little', 'man']","`` on your foot , little man"
113,Kaleo,"now go out and take what you can""","['now', 'go', 'out', 'and', 'take', 'what', 'you', 'can', ""''""]",now go out and take what you can ''
114,Kaleo,"oh, yeah","['oh', ',', 'yeah']","oh , yeah"
115,Kaleo,you've got the win in your bag,"['you', ""'ve"", 'got', 'the', 'win', 'in', 'your', 'bag']",you 've got the win in your bag
116,Kaleo,"don't you go home and cry, no","['do', ""n't"", 'you', 'go', 'home', 'and', 'cry', ',', 'no']","do n't you go home and cry , no"
117,Kaleo,"whoa, yeah, nah","['whoa', ',', 'yeah', ',', 'nah']","whoa , yeah , nah"
118,Kaleo,"whoa, yeah","['whoa', ',', 'yeah']","whoa , yeah"
119,Kaleo,woo-hoo-hoo,['woo-hoo-hoo'],woo-hoo-hoo
120,Kaleo,i've got a leather room,"['i', ""'ve"", 'got', 'a', 'leather', 'room']",i 've got a leather room
121,Kaleo,"whoa, but babe when you touch me with it, yeah","['whoa', ',', 'but', 'babe', 'when', 'you', 'touch', 'me', 'with', 'it', ',', 'yeah']","whoa , but babe when you touch me with it , yeah"
122,Kaleo,"oh, i feel i'm 'bout to break, yeah","['oh', ',', 'i', 'feel', 'i', ""'m"", ""'bout"", 'to', 'break', ',', 'yeah']","oh , i feel i 'm 'bout to break , yeah"
123,Kaleo,"oh, don't leave me this way, don't leave me","['oh', ',', 'do', ""n't"", 'leave', 'me', 'this', 'way', ',', 'do', ""n't"", 'leave', 'me']","oh , do n't leave me this way , do n't leave me"
124,Kaleo,"oh, no","['oh', ',', 'no']","oh , no"
125,Kaleo,you feel the rush in your head,"['you', 'feel', 'the', 'rush', 'in', 'your', 'head']",you feel the rush in your head
126,Kaleo,this is the time to attend,"['this', 'is', 'the', 'time', 'to', 'attend']",this is the time to attend
127,Kaleo,there's nothin' holdin' you back,"['there', ""'s"", 'nothin', ""'"", 'holdin', ""'"", 'you', 'back']",there 's nothin ' holdin ' you back
128,Kaleo,"now, go ahead","['now', ',', 'go', 'ahead']","now , go ahead"
129,Kaleo,"so maybe i'm not the same, oh no","['so', 'maybe', 'i', ""'m"", 'not', 'the', 'same', ',', 'oh', 'no']","so maybe i 'm not the same , oh no"
130,Kaleo,but i might just be the one,"['but', 'i', 'might', 'just', 'be', 'the', 'one']",but i might just be the one
